onset	duration	movement_onset	EV	action	block_duration	experiment_exp_id	gain_amount	gain_probability	key_press	loss_amount	loss_probability	num_cards	num_click_in_round	num_loss_cards	risk	response_time	total_cards	trial_id	trial_type	worker_id	junk	feedback
3.013	2.896	5.909	-0.0226135901135899	draw_card	2.896	columbia_card_task_fmri	12.0	0.8333333333333334	89.0	-70.0	0.1666666666666666	6.0	1.0	1.0	-2.2324655830937736	2.896	n/a	stim	poldrack-single-stim	s602	False	1
5.911	2.128	8.039	-2.7559469234469223	draw_card	2.128	columbia_card_task_fmri	12.0	0.8	89.0	-70.0	0.2	6.0	2.0	1.0	0.0049241367136545	2.128	n/a	stim	poldrack-single-stim	s602	False	1
8.041	3.961	12.002	-6.855946923446924	end_round	3.961	columbia_card_task_fmri	12.0	0.75	71.0	-70.0	0.25	6.0	3.0	1.0	2.708829868853577	3.961	2.0	stim	poldrack-single-stim	s602	False	1
12.754	1.5	12.003	n/a	-1.0	2.454	columbia_card_task_fmri	n/a	n/a	-1.0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	ITI	poldrack-single-stim	s602	False	0
14.46	2.957	17.417	0.8107197432197439	draw_card	2.957	columbia_card_task_fmri	14.0	0.8333333333333334	89.0	-75.0	0.1666666666666666	6.0	1.0	1.0	0.3728090866084628	2.957	n/a	stim	poldrack-single-stim	s602	False	1
17.418	0.872	18.29	-2.155946923446922	draw_card	0.872	columbia_card_task_fmri	14.0	0.8	89.0	-75.0	0.2	6.0	2.0	1.0	2.801689086607489	0.872	n/a	stim	poldrack-single-stim	s602	False	1
18.292	2.101	20.393	-6.605946923446924	draw_card	2.101	columbia_card_task_fmri	14.0	0.75	89.0	-75.0	0.25	6.0	3.0	1.0	5.736929609602335	2.101	n/a	stim	poldrack-single-stim	s602	False	1
20.395	1.188	21.583	-14.02261359011359	draw_card	1.188	columbia_card_task_fmri	14.0	0.6666666666666667	89.0	-75.0	0.3333333333333333	6.0	4.0	1.0	9.15094909060366	1.188	n/a	stim	poldrack-single-stim	s602	False	1
21.585	1.857	23.442	-28.855946923446925	draw_card	1.857	columbia_card_task_fmri	14.0	0.5	89.0	-75.0	0.5	6.0	5.0	1.0	11.694106504254512	1.857	5.0	stim	poldrack-single-stim	s602	False	0
24.194	1.5	23.443	n/a	-1.0	2.454	columbia_card_task_fmri	n/a	n/a	-1.0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	ITI	poldrack-single-stim	s602	False	0
25.9	0.718	26.618	2.4773864098864102	draw_card	0.718	columbia_card_task_fmri	15.0	0.8333333333333334	89.0	-70.0	0.1666666666666666	6.0	1.0	1.0	-1.1159891648815758	0.718	1.0	stim	poldrack-single-stim	s602	False	0
27.372	1.5	26.621	n/a	-1.0	2.522	columbia_card_task_fmri	n/a	n/a	-1.0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	ITI	poldrack-single-stim	s602	False	0
29.146	0.694	29.84	3.310719743219744	draw_card	0.694	columbia_card_task_fmri	17.0	0.8333333333333334	89.0	-75.0	0.1666666666666666	6.0	1.0	1.0	1.4895167876670996	0.694	1.0	stim	poldrack-single-stim	s602	False	0
