onset	duration	movement_onset	coded_response	experiment_exp_id	item_coding	item_responses	item_text	possible_responses	response_time	survey	trial_type	worker_id	junk
1.013	8.5	9.915	4.0	survey_medley	reverse	66,89,71,82,77	I have difficulty maintaining my focus on projects that take more than a few months to complete.	66,89,71,82,77	8.902	grit	Q06	s616	False
12.329	8.5	16.167	4.0	survey_medley	reverse	66,89,71,82,77	New ideas and projects sometimes distract me from previous ones.	66,89,71,82,77	3.838	grit	Q01	s616	False
21.942	8.5	25.851	4.0	survey_medley	reverse	66,89,71,82,77	I do certain things that are bad for me, if they are fun.	66,89,71,82,77	3.909	brief	Q13	s616	False
31.149	8.5	33.283	4.0	survey_medley	forward	66,89,71,82,77	I am good at resisting temptation.	66,89,71,82,77	2.134	brief	Q09	s616	False
40.694	8.5	44.812	5.0	survey_medley	reverse	66,89,71,82,77	I often act without thinking through all the alternatives.	66,89,71,82,77	4.118	brief	Q21	s616	False
50.171	8.5	51.82	4.0	survey_medley	forward	66,89,71,82,77	I am a hard worker.	66,89,71,82,77	1.649	grit	Q04	s616	False
59.378	8.5	62.659	4.0	survey_medley	forward	66,89,71,82,77	There is plenty of time left in my life to make new plans.	66,89,71,82,77	3.281	future_time	Q28	s616	False
69.469	8.5	74.196	3.0	survey_medley	forward	66,89,71,82,77	I have the sense that time is running out.	66,89,71,82,77	4.727	future_time	Q29	s616	False
80.377	8.5	84.57	5.0	survey_medley	reverse	66,89,71,82,77	I have a hard time breaking bad habits.	66,89,71,82,77	4.193	brief	Q10	s616	False
90.266	8.5	94.207	2.0	survey_medley	forward	66,89	Do you sometimes like doing things that are a bit frightening?	66,89,71,82,77	3.941	impulsive_venture	Q39	s616	False
99.405	8.5	102.043	4.0	survey_medley	forward	66,89,71,82,77	I finish whatever I begin.	66,89,71,82,77	2.638	grit	Q07	s616	False
109.768	8.5	112.199	4.0	survey_medley	forward	66,89,71,82,77	Setbacks don't discourage me.	66,89,71,82,77	2.431	grit	Q02	s616	False
119.454	8.5	122.962	4.0	survey_medley	forward	66,89,71,82,77	People would say that I have iron self-discipline.	66,89,71,82,77	3.508	brief	Q16	s616	False
129.615	8.5	138.337	2.0	survey_medley	forward	66,89,71,82	When I am really excited, I tend not to think of the consequences of my actions.	66,89,71,82,77	8.722	upps	Q36	s616	False
138.823	8.5	141.956	4.0	survey_medley	forward	66,89,71,82,77	I am able to work effectively toward long-term goals.	66,89,71,82,77	3.133	brief	Q19	s616	False
150.002	8.5	153.424	5.0	survey_medley	reverse	66,89,71,82,77	Sometimes I can't stop myself from doing something, even if I know it is wrong.	66,89,71,82,77	3.422	brief	Q20	s616	False
159.278	8.5	163.718	2.0	survey_medley	forward	66,89,71,82,77	As I get older, I begin to experience time as limited.	66,89,71,82,77	4.44	future_time	Q31	s616	False
168.894	8.5	172.841	1.0	survey_medley	forward	66,89,71,82	Others would say I make bad choices when I am extremely happy about something.	66,89,71,82,77	3.947	upps	Q33	s616	False
177.965	8.5	181.059	4.0	survey_medley	reverse	66,89,71,82,77	Pleasure and fun sometimes keep me from getting work done.	66,89,71,82,77	3.094	brief	Q17	s616	False
186.968	8.5	188.397	4.0	survey_medley	forward	66,89,71,82,77	I am diligent.	66,89,71,82,77	1.429	grit	Q08	s616	False
201.273	8.5	204.309	1.0	survey_medley	forward	66,89,71,82	I tend to act without thinking when I am really excited.	66,89,71,82,77	3.036	upps	Q37	s616	False
210.342	8.5	211.918	5.0	survey_medley	reverse	66,89,71,82,77	I say inappropriate things.	66,89,71,82,77	1.576	brief	Q12	s616	False
220.638	8.5	222.787	5.0	survey_medley	forward	66,89,71,82,77	My future is filled with possibilities.	66,89,71,82,77	2.149	future_time	Q24	s616	False
