onset	duration	movement_onset	coded_response	experiment_exp_id	item_coding	item_text	possible_responses	response_time	survey	trial_type	worker_id	junk
1.003	8.5	7.968	4.0	survey_medley	reverse	I have difficulty maintaining my focus on projects that take more than a few months to complete.	66,89,71,82,77	6.965	grit	Q06	s518	False
12.317	8.5	18.063	1.0	survey_medley	reverse	New ideas and projects sometimes distract me from previous ones.	66,89,71,82,77	5.746	grit	Q01	s518	False
21.93	8.5	26.191	2.0	survey_medley	reverse	I do certain things that are bad for me, if they are fun.	66,89,71,82,77	4.261	brief	Q13	s518	False
31.136	8.5	36.026	3.0	survey_medley	forward	I am good at resisting temptation.	66,89,71,82,77	4.89	brief	Q09	s518	False
40.682	8.5	46.957	4.0	survey_medley	reverse	I often act without thinking through all the alternatives.	66,89,71,82,77	6.275	brief	Q21	s518	False
50.159	8.5	52.734	5.0	survey_medley	forward	I am a hard worker.	66,89,71,82,77	2.575	grit	Q04	s518	False
59.365	8.5	65.818	5.0	survey_medley	forward	There is plenty of time left in my life to make new plans.	66,89,71,82,77	6.453	future_time	Q28	s518	False
69.454	8.5	73.788	1.0	survey_medley	forward	I have the sense that time is running out.	66,89,71,82,77	4.334	future_time	Q29	s518	False
80.36	8.5	85.355	2.0	survey_medley	reverse	I have a hard time breaking bad habits.	66,89,71,82,77	4.995	brief	Q10	s518	False
90.245	8.5	94.824	2.0	survey_medley	forward	Do you sometimes like doing things that are a bit frightening?	66,89	4.579	impulsive_venture	Q39	s518	False
99.383	8.5	103.806	4.0	survey_medley	forward	I finish whatever I begin.	66,89,71,82,77	4.423	grit	Q07	s518	False
109.745	8.5	113.385	4.0	survey_medley	forward	Setbacks don't discourage me.	66,89,71,82,77	3.64	grit	Q02	s518	False
119.426	8.5	124.096	4.0	survey_medley	forward	People would say that I have iron self-discipline.	66,89,71,82,77	4.67	brief	Q16	s518	False
129.583	8.5	136.688	3.0	survey_medley	forward	When I am really excited, I tend not to think of the consequences of my actions.	66,89,71,82	7.105	upps	Q36	s518	False
138.789	8.5	143.658	4.0	survey_medley	forward	I am able to work effectively toward long-term goals.	66,89,71,82,77	4.869	brief	Q19	s518	False
149.967	8.5	154.606	1.0	survey_medley	reverse	Sometimes I can't stop myself from doing something, even if I know it is wrong.	66,89,71,82,77	4.639	brief	Q20	s518	False
159.24	8.5	165.294	5.0	survey_medley	forward	As I get older, I begin to experience time as limited.	66,89,71,82,77	6.054	future_time	Q31	s518	False
168.854	8.5	174.346	3.0	survey_medley	forward	Others would say I make bad choices when I am extremely happy about something.	66,89,71,82	5.492	upps	Q33	s518	False
177.923	8.5	182.48	4.0	survey_medley	reverse	Pleasure and fun sometimes keep me from getting work done.	66,89,71,82,77	4.557	brief	Q17	s518	False
186.925	8.5	189.496	5.0	survey_medley	forward	I am diligent.	66,89,71,82,77	2.571	grit	Q08	s518	False
201.23	8.5	205.276	3.0	survey_medley	forward	I tend to act without thinking when I am really excited.	66,89,71,82	4.046	upps	Q37	s518	False
210.3	8.5	214.312	4.0	survey_medley	reverse	I say inappropriate things.	66,89,71,82,77	4.012	brief	Q12	s518	False
220.594	8.5	223.514	5.0	survey_medley	forward	My future is filled with possibilities.	66,89,71,82,77	2.92	future_time	Q24	s518	False
232.383	8.5	235.959	4.0	survey_medley	reverse	I have trouble concentrating.	66,89,71,82,77	3.576	brief	Q18	s518	False
241.588	8.5	246.373	2.0	survey_medley	forward	Do you welcome new and exciting experiences and sensations even if they are a little frightening and unconventional?	66,89	4.785	impulsive_venture	Q38	s518	False
251.065	8.5	255.173	5.0	survey_medley	forward	I expect that I will set many new goals in the future.	66,89,71,82,77	4.108	future_time	Q23	s518	False
