duration	onset	block_duration	movement_onset	planning	condition	exp_stage	experiment_exp_id	key_press	problem_id	response_time	trial_id	trial_type	worker_id	junk
2.048	3.012	2.048	5.06	1	UA_with_intermediate	practice	ward_and_allport	71	0.0	2.048	to_hand	poldrack-single-stim	s144	False
0.1	5.061	0.283	5.344	0	UA_with_intermediate	practice	ward_and_allport	82	0.0	0.283	to_board	poldrack-single-stim	s144	False
0.1	5.346	0.283	5.629	0	UA_with_intermediate	practice	ward_and_allport	71	0.0	0.283	to_hand	poldrack-single-stim	s144	False
0.1	5.63	0.227	5.857	0	UA_with_intermediate	practice	ward_and_allport	89	0.0	0.227	to_board	poldrack-single-stim	s144	False
0.1	5.858	0.305	6.163	0	UA_with_intermediate	practice	ward_and_allport	82	0.0	0.305	to_hand	poldrack-single-stim	s144	False
0.1	6.164	0.171	6.335	0	UA_with_intermediate	practice	ward_and_allport	89	0.0	0.171	to_board	poldrack-single-stim	s144	False
1.0	6.339	2.5	6.338	0	UA_with_intermediate	practice	ward_and_allport	-1	0.0	n/a	feedback	poldrack-single-stim	s144	False
2.182	8.842	2.182	11.024	1	UA_with_intermediate	practice	ward_and_allport	89	1.0	2.182	to_hand	poldrack-single-stim	s144	False
0.1	11.024	0.183	11.207	0	UA_with_intermediate	practice	ward_and_allport	82	1.0	0.183	to_board	poldrack-single-stim	s144	False
0.1	11.209	0.266	11.475	0	UA_with_intermediate	practice	ward_and_allport	71	1.0	0.266	to_hand	poldrack-single-stim	s144	False
0.1	11.476	0.173	11.649	0	UA_with_intermediate	practice	ward_and_allport	89	1.0	0.173	to_board	poldrack-single-stim	s144	False
0.1	11.65	0.503	12.153	0	UA_with_intermediate	practice	ward_and_allport	82	1.0	0.503	to_hand	poldrack-single-stim	s144	False
0.1	12.154	0.116	12.27	0	UA_with_intermediate	practice	ward_and_allport	89	1.0	0.116	to_board	poldrack-single-stim	s144	False
1.0	12.273	2.1	12.272	0	UA_with_intermediate	practice	ward_and_allport	-1	1.0	n/a	feedback	poldrack-single-stim	s144	False
1.543	14.375	1.543	15.918	1	UA_without_intermediate	practice	ward_and_allport	82	2.0	1.543	to_hand	poldrack-single-stim	s144	False
0.1	15.918	0.189	16.107	0	UA_without_intermediate	practice	ward_and_allport	89	2.0	0.189	to_board	poldrack-single-stim	s144	False
0.1	16.108	0.378	16.486	0	UA_without_intermediate	practice	ward_and_allport	71	2.0	0.378	to_hand	poldrack-single-stim	s144	False
0.1	16.487	0.138	16.625	0	UA_without_intermediate	practice	ward_and_allport	89	2.0	0.138	to_board	poldrack-single-stim	s144	False
0.1	16.627	0.52	17.147	0	UA_without_intermediate	practice	ward_and_allport	71	2.0	0.52	to_hand	poldrack-single-stim	s144	False
0.1	17.148	0.108	17.256	0	UA_without_intermediate	practice	ward_and_allport	89	2.0	0.108	to_board	poldrack-single-stim	s144	False
1.0	17.259	2.2	17.258	0	UA_without_intermediate	practice	ward_and_allport	-1	2.0	n/a	feedback	poldrack-single-stim	s144	False
1.826	19.461	1.826	21.287	1	UA_without_intermediate	practice	ward_and_allport	71	3.0	1.826	to_hand	poldrack-single-stim	s144	False
0.1	21.288	0.164	21.452	0	UA_without_intermediate	practice	ward_and_allport	89	3.0	0.164	to_board	poldrack-single-stim	s144	False
0.1	21.454	0.175	21.629	0	UA_without_intermediate	practice	ward_and_allport	82	3.0	0.175	to_hand	poldrack-single-stim	s144	False
0.1	21.63	0.101	21.731	0	UA_without_intermediate	practice	ward_and_allport	89	3.0	0.101	to_board	poldrack-single-stim	s144	False
0.1	21.732	0.171	21.903	0	UA_without_intermediate	practice	ward_and_allport	71	3.0	0.171	to_hand	poldrack-single-stim	s144	False
0.1	21.905	0.608	22.513	0	UA_without_intermediate	practice	ward_and_allport	89	3.0	0.608	to_board	poldrack-single-stim	s144	False
