onset	duration	movement_onset	coded_response	experiment_exp_id	item_coding	item_responses	item_text	possible_responses	response_time	survey	trial_type	worker_id	junk
1.012	8.5	5.6	4.0	survey_medley	forward	66,89,71,82,77	I refuse things that are bad for me.	66,89,71,82,77	4.588	brief	Q14	s642	False
10.155	8.5	14.125	5.0	survey_medley	reverse	66,89,71,82,77	I have a hard time breaking bad habits.	66,89,71,82,77	3.97	brief	Q10	s642	False
19.773	8.5	23.752	3.0	survey_medley	reverse	66,89,71,82,77	I have trouble concentrating.	66,89,71,82,77	3.979	brief	Q18	s642	False
29.391	8.5	33.128	4.0	survey_medley	reverse	66,89,71,82,77	I say inappropriate things.	66,89,71,82,77	3.737	brief	Q12	s642	False
39.688	8.5	43.962	4.0	survey_medley	forward	66,89,71,82,77	I could do anything I want in the future.	66,89,71,82,77	4.274	future_time	Q27	s642	False
49.782	8.5	57.88	2.0	survey_medley	forward	66,89,71,82	Sometimes when I feel bad, I can't seem to stop what I am doing even though it is making me feel worse.	66,89,71,82,77	8.098	upps	Q32	s642	False
58.855	8.5	64.257	4.0	survey_medley	reverse	66,89,71,82,77	I have difficulty maintaining my focus on projects that take more than a few months to complete.	66,89,71,82,77	5.402	grit	Q06	s642	False
69.015	8.5	71.496	5.0	survey_medley	forward	66,89,71,82,77	I am a hard worker.	66,89,71,82,77	2.481	grit	Q04	s642	False
78.905	8.5	83.912	3.0	survey_medley	reverse	66,89,71,82,77	New ideas and projects sometimes distract me from previous ones.	66,89,71,82,77	5.007	grit	Q01	s642	False
88.592	8.5	94.905	3.0	survey_medley	reverse	66,89,71,82,77	I often act without thinking through all the alternatives.	66,89,71,82,77	6.313	brief	Q21	s642	False
98.142	8.5	103.078	5.0	survey_medley	reverse	66,89,71,82,77	I often set a goal but later choose to pursue a different one.	66,89,71,82,77	4.936	grit	Q05	s642	False
109.46	8.5	112.806	5.0	survey_medley	forward	66,89,71,82,77	Many opportunities await me in the future.	66,89,71,82,77	3.346	future_time	Q22	s642	False
119.079	8.5	122.596	2.0	survey_medley	forward	66,89,71,82,77	My future seems infinite to me.	66,89,71,82,77	3.517	future_time	Q26	s642	False
128.288	8.5	132.205	5.0	survey_medley	forward	66,89,71,82,77	There is plenty of time left in my life to make new plans.	66,89,71,82,77	3.917	future_time	Q28	s642	False
137.838	8.5	141.466	2.0	survey_medley	reverse	66,89,71,82,77	I am lazy.	66,89,71,82,77	3.628	brief	Q11	s642	False
147.321	8.5	153.211	4.0	survey_medley	forward	66,89,71,82,77	Setbacks don't discourage me.	66,89,71,82,77	5.89	grit	Q02	s642	False
156.53	8.5	161.97	2.0	survey_medley	forward	66,89,71,82	When I am really excited, I tend not to think of the consequences of my actions.	66,89,71,82,77	5.44	upps	Q36	s642	False
166.622	8.5	173.438	2.0	survey_medley	forward	66,89	Do you sometimes like doing things that are a bit frightening?	66,89,71,82,77	6.816	impulsive_venture	Q39	s642	False
177.533	8.5	183.314	2.0	survey_medley	forward	66,89,71,82,77	I am good at resisting temptation.	66,89,71,82,77	5.781	brief	Q09	s642	False
187.422	8.5	193.816	2.0	survey_medley	reverse	66,89,71,82,77	I do certain things that are bad for me, if they are fun.	66,89,71,82,77	6.394	brief	Q13	s642	False
196.564	8.5	202.227	5.0	survey_medley	forward	66,89,71,82,77	I am able to work effectively toward long-term goals.	66,89,71,82,77	5.663	brief	Q19	s642	False
206.93	8.5	212.783	2.0	survey_medley	reverse	66,89,71,82,77	Pleasure and fun sometimes keep me from getting work done.	66,89,71,82,77	5.853	brief	Q17	s642	False
216.615	8.5	222.842	2.0	survey_medley	forward	66,89,71,82	Others would say I make bad choices when I am extremely happy about something.	66,89,71,82,77	6.227	upps	Q33	s642	False
226.774	8.5	231.988	4.0	survey_medley	forward	66,89,71,82,77	There are only limited possibilities in my future.	66,89,71,82,77	5.214	future_time	Q30	s642	False
235.983	8.5	238.26	5.0	survey_medley	forward	66,89,71,82,77	I finish whatever I begin.	66,89,71,82,77	2.277	grit	Q07	s642	False
247.165	8.5	250.145	5.0	survey_medley	forward	66,89,71,82,77	Most of my life lies ahead of me.	66,89,71,82,77	2.98	future_time	Q25	s642	False
256.442	8.5	263.33	3.0	survey_medley	forward	66,89,71,82,77	People would say that I have iron self-discipline.	66,89,71,82,77	6.888	brief	Q16	s642	False
266.061	8.5	269.538	4.0	survey_medley	reverse	66,89,71,82,77	Sometimes I can't stop myself from doing something, even if I know it is wrong.	66,89,71,82,77	3.477	brief	Q20	s642	False
275.134	8.5	279.923	1.0	survey_medley	forward	66,89	Do you welcome new and exciting experiences and sensations even if they are a little frightening and unconventional?	66,89,71,82,77	4.789	impulsive_venture	Q38	s642	False
284.14	8.5	287.5	5.0	survey_medley	forward	66,89,71,82,77	I expect that I will set many new goals in the future.	66,89,71,82,77	3.36	future_time	Q23	s642	False
298.449	8.5	300.789	1.0	survey_medley	reverse	66,89,71,82,77	I wish I had more self-discipline.	66,89,71,82,77	2.34	brief	Q15	s642	False
307.522	8.5	312.273	2.0	survey_medley	forward	66,89,71,82	When I get really happy about something, I tend to do things that can have bad consequences.	66,89,71,82,77	4.751	upps	Q34	s642	False
317.82	8.5	321.891	2.0	survey_medley	forward	66,89,71,82	I tend to act without thinking when I am really excited.	66,89,71,82,77	4.071	upps	Q37	s642	False
329.613	8.5	332.036	5.0	survey_medley	forward	66,89,71,82,77	My future is filled with possibilities.	66,89,71,82,77	2.423	future_time	Q24	s642	False
338.824	8.5	342.598	4.0	survey_medley	forward	66,89,71,82,77	As I get older, I begin to experience time as limited.	66,89,71,82,77	3.774	future_time	Q31	s642	False
348.304	8.5	350.742	5.0	survey_medley	forward	66,89,71,82,77	I am diligent.	66,89,71,82,77	2.438	grit	Q08	s642	False
358.263	8.5	364.466	1.0	survey_medley	forward	66,89,71,82	When overjoyed, I feel like I cant stop myself from going overboard.	66,89,71,82,77	6.203	upps	Q35	s642	False
370.125	8.5	376.383	3.0	survey_medley	reverse	66,89,71,82,77	I have been obsessed with a certain idea or project for a short time but later lost interest.	66,89,71,82,77	6.258	grit	Q03	s642	False
379.334	8.5	383.524	2.0	survey_medley	forward	66,89	Would you enjoy the sensation of skiing very fast down a high mountain slope?	66,89,71,82,77	4.19	impulsive_venture	Q40	s642	False
390.855	8.5	394.901	5.0	survey_medley	forward	66,89,71,82,77	I have the sense that time is running out.	66,89,71,82,77	4.046	future_time	Q29	s642	False
