onset	duration	movement_onset	EV	action	block_duration	experiment_exp_id	gain_amount	gain_probability	key_press	loss_amount	loss_probability	num_cards	num_click_in_round	num_loss_cards	risk	response_time	total_cards	trial_id	trial_type	worker_id	junk	feedback
3.009	3.174	6.183	-0.1311821390690437	draw_card	3.174	columbia_card_task_fmri	12.0	0.8333333333333334	89.0	-70.0	0.1666666666666666	6.0	1.0	1.0	-3.760361186901761	3.174	n/a	stim	poldrack-single-stim	s648	False	1
6.186	3.159	9.345	-2.8645154724023763	draw_card	3.159	columbia_card_task_fmri	12.0	0.8	89.0	-70.0	0.2	6.0	2.0	1.0	-1.5225871428100248	3.159	2.0	stim	poldrack-single-stim	s648	False	0
10.099	1.5	9.348	n/a	-1.0	2.454	columbia_card_task_fmri	n/a	n/a	-1.0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	ITI	poldrack-single-stim	s648	False	0
11.804	4.652	16.456	0.7021511942642902	draw_card	4.652	columbia_card_task_fmri	14.0	0.8333333333333334	89.0	-75.0	0.1666666666666666	6.0	1.0	1.0	-1.154643958755166	4.652	n/a	stim	poldrack-single-stim	s648	False	1
16.458	1.804	18.262	-2.2645154724023766	draw_card	1.804	columbia_card_task_fmri	14.0	0.8	89.0	-75.0	0.2	6.0	2.0	1.0	1.2745903403132388	1.804	n/a	stim	poldrack-single-stim	s648	False	1
18.264	1.352	19.616	-6.714515472402377	draw_card	1.352	columbia_card_task_fmri	14.0	0.75	89.0	-75.0	0.25	6.0	3.0	1.0	4.210199472008711	1.352	n/a	stim	poldrack-single-stim	s648	False	1
19.617	1.012	20.629	-14.131182139069043	end_round	1.012	columbia_card_task_fmri	14.0	0.6666666666666667	71.0	-75.0	0.3333333333333333	6.0	4.0	1.0	7.6245828439049745	1.012	3.0	stim	poldrack-single-stim	s648	False	1
21.386	1.5	20.635	n/a	-1.0	2.454	columbia_card_task_fmri	n/a	n/a	-1.0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	ITI	poldrack-single-stim	s648	False	0
23.091	2.641	25.732	2.3688178609309563	draw_card	2.641	columbia_card_task_fmri	15.0	0.8333333333333334	89.0	-70.0	0.1666666666666666	6.0	1.0	1.0	-2.6436862088167388	2.641	n/a	stim	poldrack-single-stim	s648	False	1
25.733	1.169	26.902	-0.4645154724023776	draw_card	1.169	columbia_card_task_fmri	15.0	0.8	89.0	-70.0	0.2	6.0	2.0	1.0	-0.3238536309391122	1.169	n/a	stim	poldrack-single-stim	s648	False	1
26.904	0.908	27.812	-4.714515472402377	draw_card	0.908	columbia_card_task_fmri	15.0	0.75	89.0	-70.0	0.25	6.0	3.0	1.0	2.479586369952393	0.908	n/a	stim	poldrack-single-stim	s648	False	1
27.813	1.37	29.183	-11.797848805735708	end_round	1.37	columbia_card_task_fmri	15.0	0.6666666666666667	71.0	-70.0	0.3333333333333333	6.0	4.0	1.0	5.74028563466544	1.37	3.0	stim	poldrack-single-stim	s648	False	1
29.935	1.5	29.184	n/a	-1.0	2.522	columbia_card_task_fmri	n/a	n/a	-1.0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	ITI	poldrack-single-stim	s648	False	0
