onset	duration	movement_onset	EV	action	block_duration	experiment_exp_id	gain_amount	gain_probability	key_press	loss_amount	loss_probability	num_cards	num_click_in_round	num_loss_cards	risk	response_time	total_cards	trial_id	trial_type	worker_id	junk	feedback
3.007	4.011	7.018	-1.6754695522014798	draw_card	4.011	columbia_card_task_fmri	12.0	0.8333333333333334	89.0	-70.0	0.1666666666666666	6.0	1.0	1.0	-1.0835730449582996	4.011	1.0	stim	poldrack-single-stim	s549	False	0
7.771	1.5	7.02	n/a	-1.0	2.25	columbia_card_task_fmri	n/a	n/a	-1.0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	ITI	poldrack-single-stim	s549	False	0
9.272	2.259	11.531	-0.8421362188681459	draw_card	2.259	columbia_card_task_fmri	14.0	0.8333333333333334	89.0	-75.0	0.1666666666666666	6.0	1.0	1.0	1.525172829071856	2.259	n/a	stim	poldrack-single-stim	s549	False	1
11.532	1.44	12.972	-3.8088028855348126	draw_card	1.44	columbia_card_task_fmri	14.0	0.8	89.0	-75.0	0.2	6.0	2.0	1.0	3.956831083034899	1.44	2.0	stim	poldrack-single-stim	s549	False	0
13.725	1.5	12.974	n/a	-1.0	2.386	columbia_card_task_fmri	n/a	n/a	-1.0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	ITI	poldrack-single-stim	s549	False	0
15.362	4.863	20.225	0.8245304477985201	draw_card	4.863	columbia_card_task_fmri	15.0	0.8333333333333334	89.0	-70.0	0.1666666666666666	6.0	1.0	1.0	0.0344608990434771	4.863	n/a	stim	poldrack-single-stim	s549	False	1
20.226	4.017	24.243	-2.0088028855348137	draw_card	4.017	columbia_card_task_fmri	15.0	0.8	89.0	-70.0	0.2	6.0	2.0	1.0	2.356831134251543	4.017	2.0	stim	poldrack-single-stim	s549	False	0
24.998	1.5	24.247	n/a	-1.0	2.59	columbia_card_task_fmri	n/a	n/a	-1.0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	ITI	poldrack-single-stim	s549	False	0
26.839	5.03	31.869	1.6578637811318542	draw_card	5.03	columbia_card_task_fmri	17.0	0.8333333333333334	89.0	-75.0	0.1666666666666666	6.0	1.0	1.0	2.6432067797301	5.03	1.0	stim	poldrack-single-stim	s549	False	0
32.622	1.5	31.871	n/a	-1.0	2.658	columbia_card_task_fmri	n/a	n/a	-1.0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	ITI	poldrack-single-stim	s549	False	0
34.532	1.914	36.446	2.9911971144651863	draw_card	1.914	columbia_card_task_fmri	24.0	0.75	89.0	-60.0	0.25	8.0	1.0	2.0	4.729898018849639	1.914	n/a	stim	poldrack-single-stim	s549	False	1
36.447	1.518	37.965	-0.0088028855348137	draw_card	1.518	columbia_card_task_fmri	24.0	0.7142857142857143	89.0	-60.0	0.2857142857142857	8.0	2.0	2.0	6.304162937732464	1.518	n/a	stim	poldrack-single-stim	s549	False	1
37.966	1.988	39.954	-4.008802885534814	end_round	1.988	columbia_card_task_fmri	24.0	0.6666666666666667	71.0	-60.0	0.3333333333333333	8.0	3.0	2.0	7.954810719596757	1.988	2.0	stim	poldrack-single-stim	s549	False	1
40.707	1.5	39.956	n/a	-1.0	2.386	columbia_card_task_fmri	n/a	n/a	-1.0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	ITI	poldrack-single-stim	s549	False	0
42.344	2.996	45.34	2.9911971144651863	draw_card	2.996	columbia_card_task_fmri	29.0	0.75	89.0	-75.0	0.25	8.0	1.0	2.0	13.390151851843612	2.996	1.0	stim	poldrack-single-stim	s549	False	0
46.093	1.5	45.342	n/a	-1.0	2.386	columbia_card_task_fmri	n/a	n/a	-1.0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	ITI	poldrack-single-stim	s549	False	0
47.73	5.472	53.202	-1.231025107757033	draw_card	5.472	columbia_card_task_fmri	17.0	0.7777777777777778	89.0	-65.0	0.2222222222222222	9.0	1.0	2.0	2.4474873218281417	5.472	n/a	stim	poldrack-single-stim	s549	False	1
53.203	1.508	54.711	-3.5088028855348137	end_round	1.508	columbia_card_task_fmri	17.0	0.75	71.0	-65.0	0.25	9.0	2.0	2.0	3.863872641046221	1.508	1.0	stim	poldrack-single-stim	s549	False	1
55.464	1.5	54.713	n/a	-1.0	2.25	columbia_card_task_fmri	n/a	n/a	-1.0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	ITI	poldrack-single-stim	s549	False	0
56.966	2.18	59.146	3.091197114465186	draw_card	2.18	columbia_card_task_fmri	14.0	0.9	89.0	-95.0	0.1	10.0	1.0	1.0	1.056831179555573	2.18	1.0	stim	poldrack-single-stim	s549	False	0
59.899	1.5	59.148	n/a	-1.0	2.318	columbia_card_task_fmri	n/a	n/a	-1.0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	ITI	poldrack-single-stim	s549	False	0
61.469	5.578	67.047	-1.0088028855348137	draw_card	5.578	columbia_card_task_fmri	15.0	0.8	89.0	-65.0	0.2	10.0	1.0	2.0	0.3568312054747053	5.578	n/a	stim	poldrack-single-stim	s549	False	1
