onset	duration	movement_onset	coded_response	experiment_exp_id	item_coding	item_responses	item_text	possible_responses	response_time	survey	trial_type	worker_id	junk
1.011	8.5	4.981	0.0	survey_medley	reverse	66,89,71,82,77	I wish I had more self-discipline.	66,89,71,82,77	3.97	brief	Q15	s610	False
10.082	8.5	15.008		survey_medley	reverse	66,89	Do you sometimes like doing things that are a bit frightening?	66,89,71,82,77	4.926	impulsive_venture	Q39	s610	True
20.38	8.5	29.527	0.25	survey_medley	reverse	66,89,71,82,77	As I get older, I begin to experience time as limited.	66,89,71,82,77	9.147	future_time	Q31	s610	False
32.174	8.5	36.552	0.5	survey_medley	forward	66,89,71,82,77	I am good at resisting temptation.	66,89,71,82,77	4.378	brief	Q09	s610	False
41.379	8.5	45.511	1.0	survey_medley	reverse	66,89,71,82	I tend to act without thinking when I am really excited.	66,89,71,82,77	4.132	upps	Q37	s610	False
50.861	8.5	55.889	0.5	survey_medley	forward	66,89,71,82,77	I am diligent.	66,89,71,82,77	5.028	grit	Q08	s610	False
60.819	8.5	65.406	0.75	survey_medley	reverse	66,89,71,82,77	I often set a goal but later choose to pursue a different one.	66,89,71,82,77	4.587	grit	Q05	s610	False
72.681	8.5	79.821	0.0	survey_medley	reverse	66,89,71,82	When overjoyed, I feel like I cant stop myself from going overboard.	66,89,71,82,77	7.14	upps	Q35	s610	False
81.89	8.5	85.164	1.0	survey_medley	reverse	66,89,71,82,77	I often act without thinking through all the alternatives.	66,89,71,82,77	3.274	brief	Q21	s610	False
93.411	8.5	96.926	0.75	survey_medley	reverse	66,89,71,82,77	I have trouble concentrating.	66,89,71,82,77	3.515	brief	Q18	s610	False
102.415	8.5	105.92	1.0	survey_medley	forward	66,89,71,82,77	Most of my life lies ahead of me.	66,89,71,82,77	3.505	future_time	Q25	s610	False
111.552	8.5	117.03	0.25	survey_medley	reverse	66,89,71,82,77	I have a hard time breaking bad habits.	66,89,71,82,77	5.478	brief	Q10	s610	False
121.168	8.5	127.074	0.25	survey_medley	reverse	66,89,71,82,77	I have difficulty maintaining my focus on projects that take more than a few months to complete.	66,89,71,82,77	5.906	grit	Q06	s610	False
130.781	8.5	138.423	0.0	survey_medley	reverse	66,89,71,82	Sometimes when I feel bad, I can't seem to stop what I am doing even though it is making me feel worse.	66,89,71,82,77	7.642	upps	Q32	s610	False
141.079	8.5	149.212	0.5	survey_medley	reverse	66,89,71,82,77	New ideas and projects sometimes distract me from previous ones.	66,89,71,82,77	8.133	grit	Q01	s610	False
151.173	8.5	154.34	0.75	survey_medley	reverse	66,89,71,82,77	I have the sense that time is running out.	66,89,71,82,77	3.167	future_time	Q29	s610	False
160.244	8.5	166.601	0.5	survey_medley	forward	66,89,71,82,77	I refuse things that are bad for me.	66,89,71,82,77	6.357	brief	Q14	s610	False
