onset	duration	SS_delay	block_duration	correct	correct_response	experiment_exp_id	key_press	passed_check	response_time	stop_response	stopped	trial_id	trial_type	worker_id	junk
3.016	0.85	0.35	2.25	0.0	89.0	motor_selective_stop_signal	-1.0	True	n/a	71.0	True	stim	noncrit_signal	s600	False
5.272	0.85	0.35	2.25	1.0	71.0	motor_selective_stop_signal	71.0	True	0.6	71.0	False	stim	crit_go	s600	False
7.525	0.85	0.35	2.85	1.0	71.0	motor_selective_stop_signal	71.0	True	0.591	71.0	False	stim	crit_stop_failure	s600	False
10.377	0.85	0.3	2.35	1.0	89.0	motor_selective_stop_signal	89.0	True	0.549	71.0	False	stim	noncrit_nosignal	s600	False
12.729	0.85	0.3	2.25	1.0	71.0	motor_selective_stop_signal	71.0	True	0.802	71.0	False	stim	crit_go	s600	False
14.984	0.85	0.3	2.25	1.0	71.0	motor_selective_stop_signal	71.0	True	0.582	71.0	False	stim	crit_stop_failure	s600	False
17.24	0.85	0.25	2.25	1.0	89.0	motor_selective_stop_signal	89.0	True	0.524	71.0	False	stim	noncrit_nosignal	s600	False
19.492	0.85	0.25	2.35	1.0	89.0	motor_selective_stop_signal	89.0	True	0.54	71.0	False	stim	noncrit_nosignal	s600	False
21.844	0.85	0.25	2.65	1.0	71.0	motor_selective_stop_signal	71.0	True	0.612	71.0	False	stim	crit_go	s600	False
24.5	0.85	0.25	2.75	1.0	71.0	motor_selective_stop_signal	71.0	True	0.576	71.0	False	stim	crit_stop_failure	s600	False
27.255	0.85	0.2	2.25	0.0	71.0	motor_selective_stop_signal	89.0	True	0.765	71.0	False	stim	crit_go	s600	False
29.508	0.85	0.2	2.75	1.0	71.0	motor_selective_stop_signal	-1.0	True	n/a	71.0	True	stim	crit_stop_success	s600	False
32.262	0.85	0.25	2.25	1.0	89.0	motor_selective_stop_signal	89.0	True	0.575	71.0	False	stim	noncrit_signal	s600	False
34.516	0.85	0.25	2.35	1.0	89.0	motor_selective_stop_signal	89.0	True	0.552	71.0	False	stim	noncrit_nosignal	s600	False
36.871	0.85	0.25	2.35	1.0	71.0	motor_selective_stop_signal	71.0	True	0.73	71.0	False	stim	crit_go	s600	False
39.222	0.85	0.25	2.55	1.0	71.0	motor_selective_stop_signal	71.0	True	0.967	71.0	False	stim	crit_go	s600	False
41.775	0.85	0.25	2.25	1.0	89.0	motor_selective_stop_signal	89.0	True	0.548	71.0	False	stim	noncrit_nosignal	s600	False
44.028	0.85	0.25	2.25	1.0	89.0	motor_selective_stop_signal	89.0	True	0.605	71.0	False	stim	noncrit_signal	s600	False
46.285	0.85	0.25	2.25	1.0	71.0	motor_selective_stop_signal	71.0	True	0.82	71.0	False	stim	crit_go	s600	False
48.536	0.85	0.25	2.35	1.0	89.0	motor_selective_stop_signal	89.0	True	0.592	71.0	False	stim	noncrit_nosignal	s600	False
50.89	0.85	0.25	2.65	1.0	71.0	motor_selective_stop_signal	71.0	True	0.583	71.0	False	stim	crit_stop_failure	s600	False
53.545	0.85	0.2	2.35	1.0	89.0	motor_selective_stop_signal	89.0	True	0.503	71.0	False	stim	noncrit_nosignal	s600	False
55.901	0.85	0.2	2.25	1.0	89.0	motor_selective_stop_signal	89.0	True	0.538	71.0	False	stim	noncrit_signal	s600	False
58.153	0.85	0.2	2.35	1.0	71.0	motor_selective_stop_signal	71.0	True	0.843	71.0	False	stim	crit_go	s600	False
60.505	0.85	0.2	2.35	1.0	71.0	motor_selective_stop_signal	-1.0	True	n/a	71.0	True	stim	crit_stop_success	s600	False
62.858	0.85	0.25	2.85	1.0	71.0	motor_selective_stop_signal	71.0	True	0.765	71.0	False	stim	crit_go	s600	False
65.712	0.85	0.25	2.45	1.0	89.0	motor_selective_stop_signal	89.0	True	0.506	71.0	False	stim	noncrit_nosignal	s600	False
68.167	0.85	0.25	2.35	1.0	71.0	motor_selective_stop_signal	71.0	True	0.668	71.0	False	stim	crit_go	s600	False
70.52	0.85	0.25	2.65	1.0	89.0	motor_selective_stop_signal	89.0	True	0.485	71.0	False	stim	noncrit_nosignal	s600	False
73.174	0.85	0.25	2.25	1.0	71.0	motor_selective_stop_signal	71.0	True	0.546	71.0	False	stim	crit_go	s600	False
75.426	0.85	0.25	2.25	1.0	89.0	motor_selective_stop_signal	89.0	True	0.431	71.0	False	stim	noncrit_signal	s600	False
77.677	0.85	0.25	2.25	1.0	89.0	motor_selective_stop_signal	89.0	True	0.518	71.0	False	stim	noncrit_nosignal	s600	False
79.932	0.85	0.25	2.45	1.0	89.0	motor_selective_stop_signal	89.0	True	0.587	71.0	False	stim	noncrit_nosignal	s600	False
82.388	0.85	0.25	2.35	0.0	71.0	motor_selective_stop_signal	89.0	True	0.496	71.0	False	stim	crit_go	s600	False
84.744	0.85	0.25	2.25	1.0	71.0	motor_selective_stop_signal	-1.0	True	n/a	71.0	True	stim	crit_stop_success	s600	False
86.996	0.85	0.3	2.35	1.0	71.0	motor_selective_stop_signal	-1.0	True	n/a	71.0	True	stim	crit_stop_success	s600	False
89.347	0.85	0.35	2.45	1.0	89.0	motor_selective_stop_signal	89.0	True	0.526	71.0	False	stim	noncrit_signal	s600	False
91.801	0.85	0.35	2.35	1.0	71.0	motor_selective_stop_signal	71.0	True	0.745	71.0	False	stim	crit_go	s600	False
94.154	0.85	0.35	2.25	1.0	89.0	motor_selective_stop_signal	89.0	True	0.459	71.0	False	stim	noncrit_nosignal	s600	False
96.408	0.85	0.35	2.25	0.0	71.0	motor_selective_stop_signal	89.0	True	0.689	71.0	False	stim	crit_go	s600	False
98.662	0.85	0.35	2.35	1.0	89.0	motor_selective_stop_signal	89.0	True	0.584	71.0	False	stim	noncrit_signal	s600	False
101.015	0.85	0.35	2.35	1.0	71.0	motor_selective_stop_signal	71.0	True	0.489	71.0	False	stim	crit_stop_failure	s600	False
103.368	0.85	0.3	2.35	1.0	89.0	motor_selective_stop_signal	89.0	True	0.839	71.0	False	stim	noncrit_nosignal	s600	False
105.724	0.85	0.3	2.95	1.0	71.0	motor_selective_stop_signal	71.0	True	0.684	71.0	False	stim	crit_go	s600	False
108.68	0.85	0.3	2.25	1.0	89.0	motor_selective_stop_signal	89.0	True	0.513	71.0	False	stim	noncrit_nosignal	s600	False
110.932	0.85	0.3	2.35	1.0	89.0	motor_selective_stop_signal	89.0	True	0.532	71.0	False	stim	noncrit_nosignal	s600	False
113.288	0.85	0.3	2.25	1.0	71.0	motor_selective_stop_signal	71.0	True	0.568	71.0	False	stim	crit_go	s600	False
115.541	0.85	0.3	2.45	1.0	89.0	motor_selective_stop_signal	89.0	True	0.514	71.0	False	stim	noncrit_signal	s600	False
117.993	0.85	0.3	2.35	1.0	89.0	motor_selective_stop_signal	89.0	True	0.508	71.0	False	stim	noncrit_signal	s600	False
120.348	0.85	0.3	2.55	1.0	89.0	motor_selective_stop_signal	89.0	True	0.537	71.0	False	stim	noncrit_signal	s600	False
133.414	0.85	0.3	2.55	1.0	71.0	motor_selective_stop_signal	71.0	True	0.731	71.0	False	stim	crit_go	s600	False
135.966	0.85	0.3	2.25	1.0	71.0	motor_selective_stop_signal	71.0	True	0.675	71.0	False	stim	crit_go	s600	False
138.22	0.85	0.3	2.25	0.0	71.0	motor_selective_stop_signal	89.0	True	0.702	71.0	False	stim	crit_go	s600	False
140.472	0.85	0.3	2.75	1.0	71.0	motor_selective_stop_signal	-1.0	True	n/a	71.0	True	stim	crit_stop_success	s600	False
143.225	0.85	0.35	2.35	1.0	71.0	motor_selective_stop_signal	-1.0	True	n/a	71.0	True	stim	crit_stop_success	s600	False
