onset	duration	movement_onset	block_duration	condition	correct	correct_response	experiment_exp_id	key_press	response_time	trial_id	trial_type	worker_id	junk
3.013	0.5	3.012	0.5	BY	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	BY	s607	False
5.517	0.5	5.881	1.636	BY	1.0	71.0	dot_pattern_expectancy	71.0	0.364	probe	BY	s607	False
7.157	0.5	7.156	0.5	AY	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AY	s607	False
9.664	0.5	10.361	1.5	AY	1.0	71.0	dot_pattern_expectancy	71.0	0.697	probe	AY	s607	False
11.166	0.5	11.165	0.5	AX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AX	s607	False
13.675	0.5	14.063	2.044	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.388	probe	AX	s607	False
15.72	0.5	15.719	0.5	BY	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	BY	s607	False
18.229	0.5	18.605	1.772	BY	1.0	71.0	dot_pattern_expectancy	71.0	0.376	probe	BY	s607	False
20.003	0.5	20.002	0.5	BX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	BX	s607	False
22.51	0.5	22.865	1.636	BX	1.0	71.0	dot_pattern_expectancy	71.0	0.355	probe	BX	s607	False
24.151	0.5	24.15	0.5	AX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AX	s607	False
26.659	0.5	27.092	1.636	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.433	probe	AX	s607	False
28.296	0.5	28.295	0.5	AX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AX	s607	False
30.805	0.5	31.228	1.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.423	probe	AX	s607	False
32.307	0.5	32.306	0.5	AX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AX	s607	False
34.818	0.5	35.342	1.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.524	probe	AX	s607	False
36.323	0.5	36.322	0.5	AY	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AY	s607	False
38.832	0.5	39.492	2.044	AY	1.0	71.0	dot_pattern_expectancy	71.0	0.66	probe	AY	s607	False
40.878	0.5	40.877	0.5	AX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AX	s607	False
43.384	0.5	43.722	2.452	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.338	probe	AX	s607	False
45.843	0.5	45.842	0.5	AX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AX	s607	False
48.349	0.5	48.854	1.908	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.505	probe	AX	s607	False
50.259	0.5	50.258	0.5	AX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AX	s607	False
52.77	0.5	53.318	1.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.548	probe	AX	s607	False
54.274	0.5	54.273	0.5	AX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AX	s607	False
56.781	0.5	57.299	1.908	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.518	probe	AX	s607	False
58.691	0.5	58.69	0.5	BX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	BX	s607	False
61.197	0.5	61.55	2.18	BX	1.0	71.0	dot_pattern_expectancy	71.0	0.353	probe	BX	s607	False
63.379	0.5	63.378	0.5	AX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AX	s607	False
65.89	0.5	66.328	1.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.438	probe	AX	s607	False
67.395	0.5	67.394	0.5	BY	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	BY	s607	False
69.905	0.5	70.211	1.908	BY	1.0	71.0	dot_pattern_expectancy	71.0	0.306	probe	BY	s607	False
71.816	0.5	71.815	0.5	BX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	BX	s607	False
74.325	0.5	74.748	2.316	BX	1.0	71.0	dot_pattern_expectancy	71.0	0.423	probe	BX	s607	False
76.645	0.5	76.644	0.5	AY	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AY	s607	False
79.152	0.5	79.727	2.316	AY	1.0	71.0	dot_pattern_expectancy	71.0	0.575	probe	AY	s607	False
81.47	0.5	81.469	0.5	BX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	BX	s607	False
83.978	0.5	84.675	1.636	BX	1.0	71.0	dot_pattern_expectancy	71.0	0.697	probe	BX	s607	False
85.616	0.5	85.615	0.5	AY	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AY	s607	False
88.123	0.5	88.72	1.5	AY	1.0	71.0	dot_pattern_expectancy	71.0	0.597	probe	AY	s607	False
89.624	0.5	89.623	0.5	BY	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	BY	s607	False
92.135	0.5	92.517	1.908	BY	1.0	71.0	dot_pattern_expectancy	71.0	0.382	probe	BY	s607	False
94.046	0.5	94.045	0.5	AX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AX	s607	False
96.555	0.5	96.942	1.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.387	probe	AX	s607	False
98.058	0.5	98.057	0.5	AY	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AY	s607	False
100.565	0.5	101.141	2.316	AY	1.0	71.0	dot_pattern_expectancy	71.0	0.576	probe	AY	s607	False
102.883	0.5	102.882	0.5	AX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AX	s607	False
105.394	0.5	105.846	1.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.452	probe	AX	s607	False
106.899	0.5	106.898	0.5	AY	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AY	s607	False
109.405	0.5	109.896	2.724	AY	1.0	71.0	dot_pattern_expectancy	71.0	0.491	probe	AY	s607	False
112.131	0.5	112.13	0.5	AX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AX	s607	False
114.64	0.5	115.097	1.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.457	probe	AX	s607	False
116.142	0.5	116.141	0.5	AX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AX	s607	False
118.648	0.5	119.04	1.636	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.392	probe	AX	s607	False
120.285	0.5	120.284	0.5	AX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AX	s607	False
122.792	0.5	123.286	1.636	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.494	probe	AX	s607	False
124.429	0.5	124.428	0.5	AX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AX	s607	False
126.939	0.5	127.345	1.772	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.406	probe	AX	s607	False
128.714	0.5	128.713	0.5	BY	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	BY	s607	False
131.221	0.5	131.625	1.772	BY	1.0	71.0	dot_pattern_expectancy	71.0	0.404	probe	BY	s607	False
132.995	0.5	132.994	0.5	AX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AX	s607	False
135.504	0.5	135.948	1.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.444	probe	AX	s607	False
137.005	0.5	137.004	0.5	BY	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	BY	s607	False
139.512	0.5	139.965	2.452	BY	1.0	71.0	dot_pattern_expectancy	71.0	0.453	probe	BY	s607	False
141.965	0.5	141.964	0.5	AX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AX	s607	False
144.472	0.5	144.943	1.636	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.471	probe	AX	s607	False
146.109	0.5	146.108	0.5	AX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AX	s607	False
148.616	0.5	149.005	1.636	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.389	probe	AX	s607	False
150.255	0.5	150.254	0.5	BX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	BX	s607	False
152.759	0.5	153.06	1.5	BX	1.0	71.0	dot_pattern_expectancy	71.0	0.301	probe	BX	s607	False
154.264	0.5	154.263	0.5	BX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	BX	s607	False
156.773	0.5	157.112	1.5	BX	1.0	71.0	dot_pattern_expectancy	71.0	0.339	probe	BX	s607	False
158.276	0.5	158.275	0.5	AX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AX	s607	False
160.784	0.5	161.195	2.316	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.411	probe	AX	s607	False
163.101	0.5	163.1	0.5	AY	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AY	s607	False
165.612	0.5	166.195	2.044	AY	1.0	71.0	dot_pattern_expectancy	71.0	0.583	probe	AY	s607	False
167.658	0.5	167.657	0.5	AX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AX	s607	False
170.165	0.5	170.623	3.948	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.458	probe	AX	s607	False
174.115	0.5	174.114	0.5	AX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AX	s607	False
176.621	0.5	177.054	1.636	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.433	probe	AX	s607	False
188.773	0.5	188.772	0.5	AY	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AY	s607	False
191.277	0.5	191.716	1.636	AY	1.0	71.0	dot_pattern_expectancy	71.0	0.439	probe	AY	s607	False
192.915	0.5	192.914	0.5	AX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AX	s607	False
195.421	0.5	195.768	1.636	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.347	probe	AX	s607	False
197.059	0.5	197.058	0.5	AX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AX	s607	False
199.57	0.5	200.043	1.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.473	probe	AX	s607	False
201.075	0.5	201.074	0.5	AX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AX	s607	False
203.586	0.5	204.148	1.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.562	probe	AX	s607	False
205.091	0.5	205.09	0.5	AX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AX	s607	False
207.597	0.5	208.102	1.908	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.505	probe	AX	s607	False
209.507	0.5	209.506	0.5	BX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	BX	s607	False
212.016	0.5	212.491	1.636	BX	1.0	71.0	dot_pattern_expectancy	71.0	0.475	probe	BX	s607	False
213.656	0.5	213.655	0.5	AX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AX	s607	False
216.165	0.5	216.698	2.044	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.533	probe	AX	s607	False
218.211	0.5	218.21	0.5	AX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AX	s607	False
220.72	0.5	221.131	1.772	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.411	probe	AX	s607	False
222.493	0.5	222.492	0.5	AX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AX	s607	False
225.004	0.5	225.632	1.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.628	probe	AX	s607	False
226.509	0.5	226.508	0.5	AX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AX	s607	False
229.016	0.5	229.502	2.18	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.486	probe	AX	s607	False
231.197	0.5	231.196	0.5	AX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AX	s607	False
233.709	0.5	234.174	1.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.465	probe	AX	s607	False
235.213	0.5	235.212	0.5	BX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	BX	s607	False
237.721	0.5	238.13	3.676	BX	1.0	71.0	dot_pattern_expectancy	71.0	0.409	probe	BX	s607	False
241.4	0.5	241.399	0.5	BY	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	BY	s607	False
243.907	0.5	244.328	1.636	BY	1.0	71.0	dot_pattern_expectancy	71.0	0.421	probe	BY	s607	False
245.544	0.5	245.543	0.5	BY	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	BY	s607	False
248.051	0.5	248.608	1.636	BY	1.0	71.0	dot_pattern_expectancy	71.0	0.557	probe	BY	s607	False
249.688	0.5	249.687	0.5	BX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	BX	s607	False
252.199	0.5	252.494	1.5	BX	1.0	71.0	dot_pattern_expectancy	71.0	0.295	probe	BX	s607	False
253.704	0.5	253.703	0.5	AX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AX	s607	False
256.211	0.5	256.571	1.908	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.36	probe	AX	s607	False
258.121	0.5	258.12	0.5	AX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AX	s607	False
260.627	0.5	261.023	1.636	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.396	probe	AX	s607	False
262.264	0.5	262.263	0.5	BX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	BX	s607	False
264.773	0.5	265.124	1.5	BX	1.0	71.0	dot_pattern_expectancy	71.0	0.351	probe	BX	s607	False
266.275	0.5	266.274	0.5	AX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AX	s607	False
268.781	0.5	269.249	1.908	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.468	probe	AX	s607	False
270.691	0.5	270.69	0.5	BY	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	BY	s607	False
273.197	0.5	273.686	2.18	BY	1.0	71.0	dot_pattern_expectancy	71.0	0.489	probe	BY	s607	False
275.379	0.5	275.378	0.5	AX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AX	s607	False
277.884	0.5	278.233	1.772	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.349	probe	AX	s607	False
279.66	0.5	279.659	0.5	AX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AX	s607	False
282.166	0.5	282.609	1.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.443	probe	AX	s607	False
283.672	0.5	283.671	0.5	AX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AX	s607	False
286.183	0.5	286.658	1.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.475	probe	AX	s607	False
287.688	0.5	287.687	0.5	AX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AX	s607	False
290.197	0.5	290.701	2.044	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.504	probe	AX	s607	False
292.243	0.5	292.242	0.5	AX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AX	s607	False
294.752	0.5	295.364	2.86	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.612	probe	AX	s607	False
297.613	0.5	297.612	0.5	BX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	BX	s607	False
300.125	0.5	300.763	1.5	BX	1.0	71.0	dot_pattern_expectancy	71.0	0.638	probe	BX	s607	False
301.629	0.5	301.628	0.5	BY	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	BY	s607	False
304.134	0.5	304.582	1.772	BY	1.0	71.0	dot_pattern_expectancy	71.0	0.448	probe	BY	s607	False
305.912	0.5	305.911	0.5	AX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AX	s607	False
308.423	0.5	308.862	1.772	AX	0.0	89.0	dot_pattern_expectancy	71.0	0.439	probe	AX	s607	False
310.2	0.5	310.199	0.5	AX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AX	s607	False
312.709	0.5	313.118	2.86	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.409	probe	AX	s607	False
315.571	0.5	315.57	0.5	AX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AX	s607	False
318.08	0.5	318.462	1.772	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.382	probe	AX	s607	False
319.854	0.5	319.853	0.5	BX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	BX	s607	False
322.365	0.5	322.697	1.636	BX	1.0	71.0	dot_pattern_expectancy	71.0	0.332	probe	BX	s607	False
324.003	0.5	324.002	0.5	BX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	BX	s607	False
326.513	0.5	326.974	2.452	BX	1.0	71.0	dot_pattern_expectancy	71.0	0.461	probe	BX	s607	False
328.968	0.5	328.967	0.5	AX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AX	s607	False
331.475	0.5	332.087	1.636	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.612	probe	AX	s607	False
333.112	0.5	333.111	0.5	BX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	BX	s607	False
335.623	0.5	336.609	1.5	BX	1.0	71.0	dot_pattern_expectancy	71.0	0.986	probe	BX	s607	False
337.128	0.5	337.127	0.5	AX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AX	s607	False
339.635	0.5	340.03	1.636	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.395	probe	AX	s607	False
