onset	duration	movement_onset	coded_response	experiment_exp_id	item_coding	item_text	possible_responses	response_time	survey	trial_type	worker_id	junk
1.008	8.5	5.619	2.0	survey_medley	reverse	I have difficulty maintaining my focus on projects that take more than a few months to complete.	66,89,71,82,77	4.611	grit	Q06	s612	False
12.324	8.5	16.583	2.0	survey_medley	reverse	New ideas and projects sometimes distract me from previous ones.	66,89,71,82,77	4.259	grit	Q01	s612	False
21.94	8.5	28.64	3.0	survey_medley	reverse	I do certain things that are bad for me, if they are fun.	66,89,71,82,77	6.7	brief	Q13	s612	False
31.149	8.5	34.377	3.0	survey_medley	forward	I am good at resisting temptation.	66,89,71,82,77	3.228	brief	Q09	s612	False
40.695	8.5	45.235	3.0	survey_medley	reverse	I often act without thinking through all the alternatives.	66,89,71,82,77	4.54	brief	Q21	s612	False
50.174	8.5	52.608	4.0	survey_medley	forward	I am a hard worker.	66,89,71,82,77	2.434	grit	Q04	s612	False
59.38	8.5	63.675	2.0	survey_medley	forward	There is plenty of time left in my life to make new plans.	66,89,71,82,77	4.295	future_time	Q28	s612	False
69.472	8.5	74.9	4.0	survey_medley	forward	I have the sense that time is running out.	66,89,71,82,77	5.428	future_time	Q29	s612	False
80.38	8.5	82.572	2.0	survey_medley	reverse	I have a hard time breaking bad habits.	66,89,71,82,77	2.192	brief	Q10	s612	False
90.27	8.5	92.673	2.0	survey_medley	forward	Do you sometimes like doing things that are a bit frightening?	66,89	2.403	impulsive_venture	Q39	s612	False
99.41	8.5	106.107	2.0	survey_medley	forward	I finish whatever I begin.	66,89,71,82,77	6.697	grit	Q07	s612	False
109.775	8.5	113.293	2.0	survey_medley	forward	Setbacks don't discourage me.	66,89,71,82,77	3.518	grit	Q02	s612	False
119.458	8.5	122.014	2.0	survey_medley	forward	People would say that I have iron self-discipline.	66,89,71,82,77	2.556	brief	Q16	s612	False
129.617	8.5	129.616	0.0	survey_medley	forward	When I am really excited, I tend not to think of the consequences of my actions.	66,89,71,82	n/a	upps	Q36	s612	False
