onset	duration	movement_onset	block_duration	condition	correct	correct_response	experiment_exp_id	key_press	response_time	trial_id	trial_type	worker_id	junk
3.021	0.5	3.02	0.5	AX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AX	s604	False
5.532	0.5	5.854	1.772	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.322	probe	AX	s604	False
7.308	0.5	7.307	0.5	AX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AX	s604	False
9.817	0.5	10.176	1.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.359	probe	AX	s604	False
11.321	0.5	11.32	0.5	AY	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AY	s604	False
13.831	0.5	14.183	2.452	AY	1.0	71.0	dot_pattern_expectancy	71.0	0.352	probe	AY	s604	False
16.29	0.5	16.289	0.5	AY	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AY	s604	False
18.795	0.5	19.207	1.772	AY	1.0	71.0	dot_pattern_expectancy	71.0	0.412	probe	AY	s604	False
20.574	0.5	20.573	0.5	AX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AX	s604	False
23.081	0.5	23.527	1.908	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.446	probe	AX	s604	False
24.996	0.5	24.995	0.5	AX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AX	s604	False
27.507	0.5	27.873	1.908	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.366	probe	AX	s604	False
29.417	0.5	29.416	0.5	AX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AX	s604	False
31.928	0.5	32.314	2.588	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.386	probe	AX	s604	False
34.523	0.5	34.522	0.5	AY	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AY	s604	False
37.026	0.5	37.424	1.5	AY	1.0	71.0	dot_pattern_expectancy	71.0	0.398	probe	AY	s604	False
38.531	0.5	38.53	0.5	BY	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	BY	s604	False
41.04	0.5	41.045	1.5	BY	1.0	71.0	dot_pattern_expectancy	71.0	0.005	probe	BY	s604	False
42.546	0.5	42.545	0.5	BY	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	BY	s604	False
45.053	0.5	45.263	1.5	BY	1.0	71.0	dot_pattern_expectancy	71.0	0.21	probe	BY	s604	False
46.557	0.5	46.556	0.5	AX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AX	s604	False
49.065	0.5	49.479	1.636	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.414	probe	AX	s604	False
50.703	0.5	50.702	0.5	BX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	BX	s604	False
