onset	duration	movement_onset	coded_response	experiment_exp_id	item_coding	item_responses	item_text	possible_responses	response_time	survey	trial_type	worker_id	junk
1.01	8.5	3.553	0.75	survey_medley	reverse	66,89,71,82,77	I have difficulty maintaining my focus on projects that take more than a few months to complete.	66,89,71,82,77	2.543	grit	Q06	s592	False
12.326	8.5	16.294	1.0	survey_medley	reverse	66,89,71,82,77	New ideas and projects sometimes distract me from previous ones.	66,89,71,82,77	3.968	grit	Q01	s592	False
21.939	8.5	28.496	0.0	survey_medley	reverse	66,89,71,82,77	I do certain things that are bad for me, if they are fun.	66,89,71,82,77	6.557	brief	Q13	s592	False
31.146	8.5	35.05	0.25	survey_medley	forward	66,89,71,82,77	I am good at resisting temptation.	66,89,71,82,77	3.904	brief	Q09	s592	False
40.692	8.5	46.197	0.5	survey_medley	reverse	66,89,71,82,77	I often act without thinking through all the alternatives.	66,89,71,82,77	5.505	brief	Q21	s592	False
50.169	8.5	53.121	0.25	survey_medley	forward	66,89,71,82,77	I am a hard worker.	66,89,71,82,77	2.952	grit	Q04	s592	False
59.376	8.5	63.288	1.0	survey_medley	forward	66,89,71,82,77	There is plenty of time left in my life to make new plans.	66,89,71,82,77	3.912	future_time	Q28	s592	False
69.467	8.5	73.499	0.5	survey_medley	reverse	66,89,71,82,77	I have the sense that time is running out.	66,89,71,82,77	4.032	future_time	Q29	s592	False
80.376	8.5	85.684	0.75	survey_medley	reverse	66,89,71,82,77	I have a hard time breaking bad habits.	66,89,71,82,77	5.308	brief	Q10	s592	False
90.265	8.5	94.738	0.0	survey_medley	reverse	66,89	Do you sometimes like doing things that are a bit frightening?	66,89,71,82,77	4.473	impulsive_venture	Q39	s592	False
99.404	8.5	103.221	0.75	survey_medley	forward	66,89,71,82,77	I finish whatever I begin.	66,89,71,82,77	3.817	grit	Q07	s592	False
109.77	8.5	116.195	0.0	survey_medley	forward	66,89,71,82,77	Setbacks don't discourage me.	66,89,71,82,77	6.425	grit	Q02	s592	False
119.454	8.5	126.119	0.25	survey_medley	forward	66,89,71,82,77	People would say that I have iron self-discipline.	66,89,71,82,77	6.665	brief	Q16	s592	False
129.616	8.5	136.38	0.3333333333333333	survey_medley	reverse	66,89,71,82	When I am really excited, I tend not to think of the consequences of my actions.	66,89,71,82,77	6.764	upps	Q36	s592	False
138.824	8.5	144.08	0.5	survey_medley	forward	66,89,71,82,77	I am able to work effectively toward long-term goals.	66,89,71,82,77	5.256	brief	Q19	s592	False
150.003	8.5	155.623	0.5	survey_medley	reverse	66,89,71,82,77	Sometimes I can't stop myself from doing something, even if I know it is wrong.	66,89,71,82,77	5.62	brief	Q20	s592	False
159.279	8.5	164.351	0.0	survey_medley	reverse	66,89,71,82,77	As I get older, I begin to experience time as limited.	66,89,71,82,77	5.072	future_time	Q31	s592	False
168.895	8.5	176.44	0.0	survey_medley	reverse	66,89,71,82	Others would say I make bad choices when I am extremely happy about something.	66,89,71,82,77	7.545	upps	Q33	s592	False
177.966	8.5	185.356	0.25	survey_medley	reverse	66,89,71,82,77	Pleasure and fun sometimes keep me from getting work done.	66,89,71,82,77	7.39	brief	Q17	s592	False
186.972	8.5	188.302	0.5	survey_medley	forward	66,89,71,82,77	I am diligent.	66,89,71,82,77	1.33	grit	Q08	s592	False
201.28	8.5	207.325	0.0	survey_medley	reverse	66,89,71,82	I tend to act without thinking when I am really excited.	66,89,71,82,77	6.045	upps	Q37	s592	False
