duration	onset	block_duration	movement_onset	planning	condition	exp_stage	experiment_exp_id	key_press	problem_id	response_time	trial_id	trial_type	worker_id	junk
3.717	3.005	3.717	6.722	1	UA_with_intermediate	practice	ward_and_allport	89	0.0	3.717	to_hand	poldrack-single-stim	s635	False
0.1	6.723	2.127	8.85	0	UA_with_intermediate	practice	ward_and_allport	89	0.0	2.127	to_board	poldrack-single-stim	s635	False
0.1	8.852	0.51	9.362	0	UA_with_intermediate	practice	ward_and_allport	71	0.0	0.51	to_hand	poldrack-single-stim	s635	False
0.1	9.364	2.487	11.851	0	UA_with_intermediate	practice	ward_and_allport	82	0.0	2.487	to_board	poldrack-single-stim	s635	False
0.1	11.852	0.794	12.646	0	UA_with_intermediate	practice	ward_and_allport	71	0.0	0.794	to_hand	poldrack-single-stim	s635	False
0.1	12.648	0.561	13.209	0	UA_with_intermediate	practice	ward_and_allport	89	0.0	0.561	to_board	poldrack-single-stim	s635	False
0.1	13.213	0.68	13.893	0	UA_with_intermediate	practice	ward_and_allport	82	0.0	0.68	to_hand	poldrack-single-stim	s635	False
0.1	13.894	0.552	14.446	0	UA_with_intermediate	practice	ward_and_allport	89	0.0	0.552	to_board	poldrack-single-stim	s635	False
1.0	14.448	2.5	14.447	0	UA_with_intermediate	practice	ward_and_allport	-1	0.0	n/a	feedback	poldrack-single-stim	s635	False
2.748	16.949	2.748	19.697	1	UA_with_intermediate	practice	ward_and_allport	89	1.0	2.748	to_hand	poldrack-single-stim	s635	False
0.1	19.698	1.097	20.795	0	UA_with_intermediate	practice	ward_and_allport	82	1.0	1.097	to_board	poldrack-single-stim	s635	False
0.1	20.797	1.303	22.1	0	UA_with_intermediate	practice	ward_and_allport	71	1.0	1.303	to_hand	poldrack-single-stim	s635	False
0.1	22.101	0.417	22.518	0	UA_with_intermediate	practice	ward_and_allport	89	1.0	0.417	to_board	poldrack-single-stim	s635	False
0.1	22.519	0.821	23.34	0	UA_with_intermediate	practice	ward_and_allport	82	1.0	0.821	to_hand	poldrack-single-stim	s635	False
0.1	23.341	0.32	23.661	0	UA_with_intermediate	practice	ward_and_allport	89	1.0	0.32	to_board	poldrack-single-stim	s635	False
1.0	23.662	2.1	23.661	0	UA_with_intermediate	practice	ward_and_allport	-1	1.0	n/a	feedback	poldrack-single-stim	s635	False
2.224	25.764	2.224	27.988	1	UA_without_intermediate	practice	ward_and_allport	82	2.0	2.224	to_hand	poldrack-single-stim	s635	False
0.1	27.989	0.362	28.351	0	UA_without_intermediate	practice	ward_and_allport	89	2.0	0.362	to_board	poldrack-single-stim	s635	False
0.1	28.353	1.207	29.56	0	UA_without_intermediate	practice	ward_and_allport	71	2.0	1.207	to_hand	poldrack-single-stim	s635	False
0.1	29.561	0.264	29.825	0	UA_without_intermediate	practice	ward_and_allport	89	2.0	0.264	to_board	poldrack-single-stim	s635	False
0.1	29.827	0.363	30.19	0	UA_without_intermediate	practice	ward_and_allport	71	2.0	0.363	to_hand	poldrack-single-stim	s635	False
0.1	30.191	0.216	30.407	0	UA_without_intermediate	practice	ward_and_allport	89	2.0	0.216	to_board	poldrack-single-stim	s635	False
1.0	30.409	2.2	30.408	0	UA_without_intermediate	practice	ward_and_allport	-1	2.0	n/a	feedback	poldrack-single-stim	s635	False
2.131	32.61	2.131	34.741	1	UA_without_intermediate	practice	ward_and_allport	71	3.0	2.131	to_hand	poldrack-single-stim	s635	False
0.1	34.742	0.288	35.03	0	UA_without_intermediate	practice	ward_and_allport	89	3.0	0.288	to_board	poldrack-single-stim	s635	False
0.1	35.032	1.269	36.301	0	UA_without_intermediate	practice	ward_and_allport	82	3.0	1.269	to_hand	poldrack-single-stim	s635	False
0.1	36.302	0.285	36.587	0	UA_without_intermediate	practice	ward_and_allport	89	3.0	0.285	to_board	poldrack-single-stim	s635	False
0.1	36.589	0.4	36.989	0	UA_without_intermediate	practice	ward_and_allport	71	3.0	0.4	to_hand	poldrack-single-stim	s635	False
0.1	36.99	0.214	37.204	0	UA_without_intermediate	practice	ward_and_allport	89	3.0	0.214	to_board	poldrack-single-stim	s635	False
1.0	37.207	2.0	37.206	0	UA_without_intermediate	practice	ward_and_allport	-1	3.0	n/a	feedback	poldrack-single-stim	s635	False
2.34	41.21	2.34	43.55	1	PA_with_intermediate	test	ward_and_allport	89	0.0	2.34	to_hand	poldrack-single-stim	s635	False
0.1	43.552	4.134	47.686	0	PA_with_intermediate	test	ward_and_allport	71	0.0	4.134	to_board	poldrack-single-stim	s635	False
0.1	47.688	0.424	48.112	0	PA_with_intermediate	test	ward_and_allport	89	0.0	0.424	to_hand	poldrack-single-stim	s635	False
0.1	48.113	0.697	48.81	0	PA_with_intermediate	test	ward_and_allport	82	0.0	0.697	to_board	poldrack-single-stim	s635	False
0.1	48.813	1.745	50.558	0	PA_with_intermediate	test	ward_and_allport	71	0.0	1.745	to_hand	poldrack-single-stim	s635	False
0.1	50.559	0.213	50.772	0	PA_with_intermediate	test	ward_and_allport	89	0.0	0.213	to_board	poldrack-single-stim	s635	False
1.0	50.775	3.768	50.774	0	PA_with_intermediate	test	ward_and_allport	-1	0.0	n/a	feedback	poldrack-single-stim	s635	False
3.556	54.544	3.556	58.1	1	PA_with_intermediate	test	ward_and_allport	71	1.0	3.556	to_hand	poldrack-single-stim	s635	False
0.1	58.101	0.756	58.857	0	PA_with_intermediate	test	ward_and_allport	89	1.0	0.756	to_board	poldrack-single-stim	s635	False
0.1	58.859	0.378	59.237	0	PA_with_intermediate	test	ward_and_allport	71	1.0	0.378	to_hand	poldrack-single-stim	s635	False
0.1	59.238	0.631	59.869	0	PA_with_intermediate	test	ward_and_allport	82	1.0	0.631	to_board	poldrack-single-stim	s635	False
0.1	59.872	0.485	60.357	0	PA_with_intermediate	test	ward_and_allport	89	1.0	0.485	to_hand	poldrack-single-stim	s635	False
0.1	60.358	0.392	60.75	0	PA_with_intermediate	test	ward_and_allport	71	1.0	0.392	to_board	poldrack-single-stim	s635	False
1.0	60.753	2.68	60.752	0	PA_with_intermediate	test	ward_and_allport	-1	1.0	n/a	feedback	poldrack-single-stim	s635	False
