duration	onset	block_duration	movement_onset	planning	condition	exp_stage	experiment_exp_id	key_press	problem_id	response_time	trial_id	trial_type	worker_id	junk
6.099	3.013	6.099	9.112	1	UA_with_intermediate	practice	ward_and_allport	71	0.0	6.099	to_hand	poldrack-single-stim	s553	False
0.1	9.113	1.435	10.548	0	UA_with_intermediate	practice	ward_and_allport	89	0.0	1.435	to_board	poldrack-single-stim	s553	False
0.1	10.551	1.635	12.186	0	UA_with_intermediate	practice	ward_and_allport	89	0.0	1.635	to_hand	poldrack-single-stim	s553	False
0.1	12.187	1.594	13.781	0	UA_with_intermediate	practice	ward_and_allport	82	0.0	1.594	to_board	poldrack-single-stim	s553	False
0.1	13.783	1.543	15.326	0	UA_with_intermediate	practice	ward_and_allport	71	0.0	1.543	to_hand	poldrack-single-stim	s553	False
0.1	15.326	0.849	16.175	0	UA_with_intermediate	practice	ward_and_allport	89	0.0	0.849	to_board	poldrack-single-stim	s553	False
0.1	16.177	2.105	18.282	0	UA_with_intermediate	practice	ward_and_allport	82	0.0	2.105	to_hand	poldrack-single-stim	s553	False
0.1	18.282	1.029	19.311	0	UA_with_intermediate	practice	ward_and_allport	89	0.0	1.029	to_board	poldrack-single-stim	s553	False
1.0	19.317	2.5	19.316	0	UA_with_intermediate	practice	ward_and_allport	-1	0.0	n/a	feedback	poldrack-single-stim	s553	False
3.821	21.82	3.821	25.641	1	UA_with_intermediate	practice	ward_and_allport	89	1.0	3.821	to_hand	poldrack-single-stim	s553	False
0.1	25.641	1.1	26.741	0	UA_with_intermediate	practice	ward_and_allport	82	1.0	1.1	to_board	poldrack-single-stim	s553	False
0.1	26.742	1.013	27.755	0	UA_with_intermediate	practice	ward_and_allport	71	1.0	1.013	to_hand	poldrack-single-stim	s553	False
0.1	27.756	0.512	28.268	0	UA_with_intermediate	practice	ward_and_allport	89	1.0	0.512	to_board	poldrack-single-stim	s553	False
0.1	28.27	1.001	29.271	0	UA_with_intermediate	practice	ward_and_allport	82	1.0	1.001	to_hand	poldrack-single-stim	s553	False
0.1	29.272	0.503	29.775	0	UA_with_intermediate	practice	ward_and_allport	89	1.0	0.503	to_board	poldrack-single-stim	s553	False
1.0	29.781	2.1	29.78	0	UA_with_intermediate	practice	ward_and_allport	-1	1.0	n/a	feedback	poldrack-single-stim	s553	False
2.494	31.883	2.494	34.377	1	UA_without_intermediate	practice	ward_and_allport	82	2.0	2.494	to_hand	poldrack-single-stim	s553	False
0.1	34.379	1.641	36.02	0	UA_without_intermediate	practice	ward_and_allport	89	2.0	1.641	to_board	poldrack-single-stim	s553	False
0.1	36.023	1.124	37.147	0	UA_without_intermediate	practice	ward_and_allport	71	2.0	1.124	to_hand	poldrack-single-stim	s553	False
0.1	37.147	0.905	38.052	0	UA_without_intermediate	practice	ward_and_allport	89	2.0	0.905	to_board	poldrack-single-stim	s553	False
0.1	38.055	0.57	38.625	0	UA_without_intermediate	practice	ward_and_allport	71	2.0	0.57	to_hand	poldrack-single-stim	s553	False
0.1	38.626	0.463	39.089	0	UA_without_intermediate	practice	ward_and_allport	89	2.0	0.463	to_board	poldrack-single-stim	s553	False
1.0	39.095	2.2	39.094	0	UA_without_intermediate	practice	ward_and_allport	-1	2.0	n/a	feedback	poldrack-single-stim	s553	False
2.138	41.297	2.138	43.435	1	UA_without_intermediate	practice	ward_and_allport	71	3.0	2.138	to_hand	poldrack-single-stim	s553	False
0.1	43.437	0.87	44.307	0	UA_without_intermediate	practice	ward_and_allport	89	3.0	0.87	to_board	poldrack-single-stim	s553	False
0.1	44.31	1.33	45.64	0	UA_without_intermediate	practice	ward_and_allport	71	3.0	1.33	to_hand	poldrack-single-stim	s553	False
0.1	45.641	3.501	49.142	0	UA_without_intermediate	practice	ward_and_allport	71	3.0	3.501	to_board	poldrack-single-stim	s553	False
0.1	49.144	0.584	49.728	0	UA_without_intermediate	practice	ward_and_allport	82	3.0	0.584	to_hand	poldrack-single-stim	s553	False
0.1	49.728	0.553	50.281	0	UA_without_intermediate	practice	ward_and_allport	89	3.0	0.553	to_board	poldrack-single-stim	s553	False
0.1	50.283	0.6	50.883	0	UA_without_intermediate	practice	ward_and_allport	71	3.0	0.6	to_hand	poldrack-single-stim	s553	False
