onset	duration	movement_onset	block_duration	condition	correct	correct_response	experiment_exp_id	key_press	response_time	trial_id	trial_type	worker_id	junk
3.008	0.5	3.007	0.5	AX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AX	s645	False
5.513	0.5	5.974	1.772	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.461	probe	AX	s645	False
7.288	0.5	7.287	0.5	AX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AX	s645	False
9.792	0.5	10.25	1.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.458	probe	AX	s645	False
11.293	0.5	11.292	0.5	AY	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AY	s645	False
13.797	0.5	14.302	2.452	AY	1.0	71.0	dot_pattern_expectancy	71.0	0.505	probe	AY	s645	False
16.252	0.5	16.251	0.5	AY	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AY	s645	False
18.757	0.5	19.215	1.772	AY	1.0	71.0	dot_pattern_expectancy	71.0	0.458	probe	AY	s645	False
20.532	0.5	20.531	0.5	AX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AX	s645	False
23.037	0.5	23.595	1.908	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.558	probe	AX	s645	False
24.947	0.5	24.946	0.5	AX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AX	s645	False
27.452	0.5	27.832	1.908	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.38	probe	AX	s645	False
29.363	0.5	29.362	0.5	AX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AX	s645	False
31.868	0.5	32.273	2.588	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.405	probe	AX	s645	False
34.459	0.5	34.458	0.5	AY	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AY	s645	False
36.964	0.5	37.434	1.5	AY	1.0	71.0	dot_pattern_expectancy	71.0	0.47	probe	AY	s645	False
38.467	0.5	38.466	0.5	BY	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	BY	s645	False
40.972	0.5	41.278	1.5	BY	1.0	71.0	dot_pattern_expectancy	71.0	0.306	probe	BY	s645	False
42.473	0.5	42.472	0.5	BY	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	BY	s645	False
44.977	0.5	45.372	1.5	BY	1.0	71.0	dot_pattern_expectancy	71.0	0.395	probe	BY	s645	False
46.48	0.5	46.479	0.5	AX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AX	s645	False
48.984	0.5	49.45	1.636	AX	0.0	89.0	dot_pattern_expectancy	71.0	0.466	probe	AX	s645	False
50.624	0.5	50.623	0.5	BX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	BX	s645	False
