onset	duration	movement_onset	block_duration	condition	correct	correct_response	experiment_exp_id	key_press	response_time	trial_id	trial_type	worker_id	junk
3.006	0.5	3.005	0.5	AY	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AY	s558	False
5.511	0.5	6.238	1.636	AY	1.0	71.0	dot_pattern_expectancy	71.0	0.727	probe	AY	s558	False
7.15	0.5	7.149	0.5	AX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AX	s558	False
9.654	0.5	10.133	1.636	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.479	probe	AX	s558	False
11.292	0.5	11.291	0.5	AX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AX	s558	False
13.797	0.5	14.283	1.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.486	probe	AX	s558	False
15.3	0.5	15.299	0.5	AX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AX	s558	False
17.804	0.5	18.249	1.5	AX	0.0	89.0	dot_pattern_expectancy	71.0	0.445	probe	AX	s558	False
19.306	0.5	19.305	0.5	AX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AX	s558	False
21.81	0.5	22.249	1.908	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.439	probe	AX	s558	False
23.721	0.5	23.72	0.5	BX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	BX	s558	False
26.223	0.5	26.57	1.636	BX	1.0	71.0	dot_pattern_expectancy	71.0	0.347	probe	BX	s558	False
27.861	0.5	27.86	0.5	AX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AX	s558	False
30.364	0.5	30.791	2.044	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.427	probe	AX	s558	False
32.41	0.5	32.409	0.5	AX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AX	s558	False
34.914	0.5	35.35	1.772	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.436	probe	AX	s558	False
36.688	0.5	36.687	0.5	AX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AX	s558	False
39.191	0.5	39.63	1.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.439	probe	AX	s558	False
40.693	0.5	40.692	0.5	AX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AX	s558	False
43.197	0.5	43.644	2.18	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.447	probe	AX	s558	False
45.379	0.5	45.378	0.5	AX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AX	s558	False
47.883	0.5	48.35	1.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.467	probe	AX	s558	False
49.385	0.5	49.384	0.5	BX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	BX	s558	False
51.888	0.5	52.288	3.676	BX	1.0	71.0	dot_pattern_expectancy	71.0	0.4	probe	BX	s558	False
55.566	0.5	55.565	0.5	BY	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	BY	s558	False
58.069	0.5	58.453	1.636	BY	1.0	71.0	dot_pattern_expectancy	71.0	0.384	probe	BY	s558	False
59.707	0.5	59.706	0.5	BY	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	BY	s558	False
62.212	0.5	62.519	1.636	BY	1.0	71.0	dot_pattern_expectancy	71.0	0.307	probe	BY	s558	False
63.851	0.5	63.85	0.5	BX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	BX	s558	False
66.355	0.5	66.825	1.5	BX	1.0	71.0	dot_pattern_expectancy	71.0	0.47	probe	BX	s558	False
67.856	0.5	67.855	0.5	AX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AX	s558	False
70.361	0.5	70.823	1.908	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.462	probe	AX	s558	False
72.272	0.5	72.271	0.5	AX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AX	s558	False
74.776	0.5	75.235	1.636	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.459	probe	AX	s558	False
76.414	0.5	76.413	0.5	BX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	BX	s558	False
78.919	0.5	79.221	1.5	BX	1.0	71.0	dot_pattern_expectancy	71.0	0.302	probe	BX	s558	False
80.42	0.5	80.419	0.5	AX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AX	s558	False
82.923	0.5	83.329	1.908	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.406	probe	AX	s558	False
84.833	0.5	84.832	0.5	BY	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	BY	s558	False
87.338	0.5	87.739	2.18	BY	1.0	71.0	dot_pattern_expectancy	71.0	0.401	probe	BY	s558	False
89.521	0.5	89.52	0.5	AX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AX	s558	False
92.025	0.5	92.567	1.772	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.542	probe	AX	s558	False
93.799	0.5	93.798	0.5	AX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AX	s558	False
96.303	0.5	96.741	1.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.438	probe	AX	s558	False
97.804	0.5	97.803	0.5	AX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AX	s558	False
100.308	0.5	100.785	1.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.477	probe	AX	s558	False
101.81	0.5	101.809	0.5	AX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AX	s558	False
104.314	0.5	104.765	2.044	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.451	probe	AX	s558	False
106.359	0.5	106.358	0.5	AX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AX	s558	False
108.863	0.5	109.368	2.86	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.505	probe	AX	s558	False
111.725	0.5	111.724	0.5	BX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	BX	s558	False
114.23	0.5	114.547	1.5	BX	1.0	71.0	dot_pattern_expectancy	71.0	0.317	probe	BX	s558	False
115.732	0.5	115.731	0.5	BY	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	BY	s558	False
118.237	0.5	118.644	1.772	BY	1.0	71.0	dot_pattern_expectancy	71.0	0.407	probe	BY	s558	False
120.012	0.5	120.011	0.5	AX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AX	s558	False
122.517	0.5	122.975	1.772	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.458	probe	AX	s558	False
124.29	0.5	124.289	0.5	AX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AX	s558	False
126.794	0.5	127.105	2.86	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.311	probe	AX	s558	False
129.656	0.5	129.655	0.5	AX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AX	s558	False
132.16	0.5	132.591	1.772	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.431	probe	AX	s558	False
133.933	0.5	133.932	0.5	BX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	BX	s558	False
136.438	0.5	136.772	1.636	BX	1.0	71.0	dot_pattern_expectancy	71.0	0.334	probe	BX	s558	False
138.076	0.5	138.075	0.5	BX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	BX	s558	False
140.579	0.5	140.857	2.452	BX	1.0	71.0	dot_pattern_expectancy	71.0	0.278	probe	BX	s558	False
143.032	0.5	143.031	0.5	AX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AX	s558	False
145.537	0.5	145.93	1.636	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.393	probe	AX	s558	False
